kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
503,2,294,5845,294,2,503,5845,290,1,827,0,3,34,16,6,0,6,8,965,6,10,241,5,13,0,0,15,655,0
410,1,288,7024,288,1,410,7024,287,1,1184,0,3,0,19,6,0,6,8,1149,3,10,69,3,13,0,0,15,1010,0
410,1,288,7024,288,1,410,7024,287,1,1184,0,3,0,19,6,0,6,8,1149,3,10,69,3,13,0,0,15,1010,0
212,1,131,6179,131,1,212,6179,131,1,534,0,3,0,7,6,0,7,8,1526,1,10,76,1,13,0,0,15,1068,0
212,1,131,6179,131,1,212,6179,131,1,534,0,3,0,7,6,0,7,8,1526,1,10,76,1,13,0,0,15,1068,0
274,1,145,5292,145,1,274,5292,144,1,277,0,3,0,11,6,0,1,8,2986,2,10,138,1,13,0,0,15,833,0
274,1,145,5292,145,1,274,5292,144,1,277,0,3,0,11,6,0,1,8,2986,2,10,138,1,13,0,0,15,833,0
453,1,314,6932,314,1,453,6932,313,1,1022,0,3,0,15,6,31,16,8,958,7,10,0,2,13,0,0,15,1405,0
453,1,314,6932,314,1,453,6932,313,1,1022,0,3,0,15,6,31,16,8,958,7,10,0,2,13,0,0,15,1405,0
1 319,1,797,6042,797,1,1319,6042,786,1,1170,0,3,0,62,6,0,20,8,572,4,10,89,2,13,0,2,15,839,0
1 319,1,797,6042,797,1,1319,6042,786,1,1170,0,3,0,62,6,0,20,8,572,4,10,89,2,13,0,2,15,839,0
73,1,39,5342,39,1,73,5342,39,1,512,0,3,0,1,6,0,6,8,2820,0,10,0,3,13,0,0,15,0,0
73,1,39,5342,39,1,73,5342,39,1,512,0,3,0,1,6,0,6,8,2820,0,10,0,3,13,0,0,15,0,0
447,2,279,6242,279,2,447,6242,278,1,827,1,3,0,26,6,0,17,8,1079,1,10,35,6,13,0,0,15,395,0
126,1,74,5873,74,1,126,5873,73,1,410,0,3,0,7,6,0,1,8,958,0,10,0,0,13,0,0,15,684,1
126,1,74,5873,74,1,126,5873,73,1,410,0,3,0,7,6,0,1,8,958,0,10,0,0,13,0,0,15,684,1
345,1,222,6435,222,1,345,6435,220,1,136,1,3,0,20,6,0,4,8,1136,1,10,45,2,13,0,0,15,636,0
345,1,222,6435,222,1,345,6435,220,1,136,1,3,0,20,6,0,4,8,1136,1,10,45,2,13,0,0,15,636,0
499,3,360,7214,360,3,499,7214,356,1,505,0,3,0,41,6,56,12,8,702,3,10,28,3,13,0,0,15,870,1
204,1,110,5392,110,1,204,5392,109,1,550,0,3,0,9,6,0,6,8,1284,2,10,91,1,13,0,1,15,1100,0
204,1,110,5392,110,1,204,5392,109,1,550,0,3,0,9,6,0,6,8,1284,2,10,91,1,13,0,1,15,1100,0
393,1,215,5471,215,1,393,5471,215,1,279,1,3,0,32,6,0,17,8,697,5,10,0,4,13,93,0,15,279,0
393,1,215,5471,215,1,393,5471,215,1,279,1,3,0,32,6,0,17,8,697,5,10,0,4,13,93,0,15,279,0
252,1,152,6032,152,1,252,6032,152,1,592,0,3,0,9,6,0,14,8,1447,1,10,65,0,13,0,0,15,526,0
252,1,152,6032,152,1,252,6032,152,1,592,0,3,0,9,6,0,14,8,1447,1,10,65,0,13,0,0,15,526,0
1 101,2,613,5568,613,2,1101,5568,611,1,1112,0,3,81,35,6,16,29,8,1129,18,10,81,11,13,0,1,15,621,0
354,1,204,5763,204,1,354,5763,204,1,539,0,3,0,33,6,0,3,8,931,1,10,98,1,13,0,0,15,882,1
354,1,204,5763,204,1,354,5763,204,1,539,0,3,0,33,6,0,3,8,931,1,10,98,1,13,0,0,15,882,1
